,id,length,cols,label,earliest_entry,latest_entry,timestamp_density,median_trip_distance,average_trip_distance
quarterly_simulation_2388.csv,2388,90510,428,private,2007-06-30 17:59:46,2009-06-30 21:28:00,697.94396199315,3489.0,9835.740559979451
quarterly_simulation_2391.csv,2391,86467,428,private,2007-06-30 18:08:22,2009-06-26 14:27:31,726.2880289590248,4393.0,5946.716173120729
quarterly_simulation_2392.csv,2392,85325,428,private,2007-06-29 19:00:18,2009-06-30 19:40:40,741.2611075300322,7653.0,11549.47303417044
quarterly_simulation_2400.csv,2400,82962,428,private,2007-06-22 17:33:33,2009-06-30 17:41:34,769.6387261637858,3244.5,5057.600663716814
quarterly_simulation_2404.csv,2404,85529,428,private,2007-06-30 16:27:25,2009-06-27 14:41:32,735.3412526745315,9285.0,10315.263704765317
quarterly_simulation_2405.csv,2405,84579,428,private,2007-06-30 20:22:49,2009-06-30 20:30:28,746.7490748294493,3265.0,7715.485572448029
quarterly_simulation_2413.csv,2413,117603,428,private,2007-06-30 07:51:11,2009-06-30 17:45:13,537.3550929823219,5487.0,21607.212431842967
quarterly_simulation_243.csv,243,110064,428,private,2007-06-30 17:15:14,2009-06-30 17:55:42,573.8635157726413,5513.0,14082.783599926457
quarterly_simulation_2439.csv,2439,81400,428,private,2007-06-30 23:27:35,2009-06-29 16:08:35,774.5184889434889,6763.5,8326.56505003849
quarterly_simulation_2443.csv,2443,93210,428,private,2007-06-30 17:38:57,2009-06-30 17:43:29,677.5993455637807,2054.0,5866.268206039076
quarterly_simulation_2447.csv,2447,88635,428,private,2007-06-30 17:27:02,2009-06-30 14:50:28,712.4632932814351,2223.0,9894.713676428775
quarterly_simulation_2464.csv,2464,91286,428,private,2007-06-30 18:38:32,2009-06-30 19:45:00,691.9218281006945,2648.0,6993.398024989923
quarterly_simulation_2471.csv,2471,83835,428,private,2007-06-30 20:39:25,2009-06-30 21:35:18,753.4095306256337,2148.0,4082.6898351074933
quarterly_simulation_2475.csv,2475,106837,428,private,2007-06-30 17:19:14,2009-06-30 18:14:22,591.2029914729916,3389.0,7392.331091445428
quarterly_simulation_2476.csv,2476,84970,428,private,2007-06-30 18:35:55,2009-06-29 21:50:50,742.4295633753089,2985.0,11407.711498547114
quarterly_simulation_2477.csv,2477,102813,428,commercial,2007-06-30 08:25:35,2009-06-30 11:43:36,614.4217754564112,920.0,2745.021567388213
quarterly_simulation_2481.csv,2481,111193,428,private,2007-06-30 15:55:26,2009-06-30 22:17:55,568.2158319318662,7310.0,23984.006309944474
quarterly_simulation_2483.csv,2483,82240,428,private,2007-06-27 18:54:57,2009-06-30 13:58:19,770.9156736381323,27030.0,18298.856931060043
quarterly_simulation_2488.csv,2488,91818,428,commercial,2007-06-30 08:02:52,2009-06-30 08:03:15,687.8733037095122,832.5,3260.3426521523998
quarterly_simulation_2490.csv,2490,84495,428,private,2007-06-27 09:04:01,2009-06-28 18:51:04,748.9281259246109,3428.0,11462.628559286019
quarterly_simulation_2491.csv,2491,86629,428,private,2007-06-30 18:30:38,2009-06-30 17:59:51,729.0562629142665,3981.0,11151.675435478137
quarterly_simulation_2496.csv,2496,94302,428,private,2007-06-30 23:12:24,2009-06-30 14:44:53,669.4248796420012,5405.0,13785.903004291846
quarterly_simulation_2520.csv,2520,111219,428,commercial,2007-06-29 19:07:35,2009-06-30 21:36:47,568.7355307995936,21831.5,48505.69383259912
quarterly_simulation_2521.csv,2521,86272,428,commercial,2007-06-29 17:44:50,2009-06-26 06:44:02,728.6206648738872,533.0,8677.265194627817
quarterly_simulation_2522.csv,2522,96919,428,commercial,2007-06-30 09:31:48,2009-06-30 13:09:46,651.8048060751762,8881.5,13317.64562751555
quarterly_simulation_2527.csv,2527,84280,428,private,2007-06-16 09:38:17,2009-06-30 20:18:03,764.2001542477456,4924.0,6807.4110182606
quarterly_simulation_2531.csv,2531,120213,428,commercial,2007-06-27 09:05:52,2009-06-30 07:49:18,527.5099531664629,1289.5,37347.117940199336
quarterly_simulation_2532.csv,2532,151642,428,private,2007-06-30 16:43:56,2009-06-30 14:52:16,416.4529879584812,425.0,43852.007525655645
quarterly_simulation_2533.csv,2533,106909,428,commercial,2007-06-30 13:34:45,2009-06-30 08:08:06,590.5902777128211,1845.5,10320.026834445118
quarterly_simulation_2536.csv,2536,84774,428,private,2007-06-30 08:21:06,2009-06-30 09:02:33,745.0565149692122,563.0,1155.2930916082955
quarterly_simulation_2542.csv,2542,102874,428,private,2007-06-30 10:39:06,2009-06-30 15:01:37,614.0959328887766,9455.0,25857.302155644866
quarterly_simulation_2543.csv,2543,81690,428,private,2007-06-30 23:46:26,2009-06-30 23:08:48,773.1295874648059,4771.5,4544.718599679316
quarterly_simulation_2544.csv,2544,94920,428,private,2007-06-30 17:49:39,2009-06-30 18:26:49,665.4156236831016,3799.0,7373.307651622003
quarterly_simulation_2559.csv,2559,84087,428,private,2007-06-30 10:23:29,2009-06-30 22:01:42,751.6106413595443,2851.0,7848.013893274392
quarterly_simulation_2563.csv,2563,80411,428,private,2007-06-30 10:43:35,2009-06-30 09:20:29,785.3838280832224,975.0,2020.4579505300353
quarterly_simulation_2574.csv,2574,89445,428,private,2007-06-30 16:41:16,2009-06-30 18:08:09,706.1751579182738,5004.0,18389.098611111112
quarterly_simulation_2575.csv,2575,78384,428,private,2007-06-30 22:03:49,2009-06-30 19:05:04,805.6280108185344,2763.0,7487.370340681363
quarterly_simulation_2582.csv,2582,84740,428,private,2007-06-30 17:11:19,2009-06-22 11:03:15,736.9050861458579,5235.0,7783.248776009792
quarterly_simulation_2597.csv,2597,92816,428,private,2007-06-30 16:03:54,2009-06-30 17:04:27,680.515202120324,2623.0,10519.808436724566
quarterly_simulation_2598.csv,2598,65053,428,private,2007-07-01 00:05:40,2009-06-30 10:06:55,970.1292023427052,3295.5,15426.600961538461
quarterly_simulation_2604.csv,2604,77924,428,private,2007-06-29 23:12:48,2009-06-30 14:57:53,811.2421975257944,2889.0,7822.51619755709
quarterly_simulation_2615.csv,2615,82395,428,private,2007-06-29 18:05:47,2009-06-22 06:08:58,758.6764245403241,2471.0,4744.798998569385
quarterly_simulation_2620.csv,2620,99128,428,private,2007-06-30 22:12:06,2009-06-30 21:40:02,637.1222056331208,5500.0,6482.567825966468
quarterly_simulation_2627.csv,2627,85647,428,private,2007-06-30 21:45:04,2009-06-30 20:18:04,737.3763938024682,1751.0,5864.969177288528
quarterly_simulation_263.csv,263,82935,428,private,2007-06-30 17:11:31,2009-06-30 13:56:21,761.4022909507446,2061.0,7714.805027769658
quarterly_simulation_2635.csv,2635,90110,428,private,2007-06-30 17:26:43,2009-06-30 15:39:35,700.8341915436688,6058.5,10028.022573949143
quarterly_simulation_2648.csv,2648,151167,428,commercial,2007-06-30 10:10:44,2009-06-30 21:47:45,418.0838212043634,11771.5,38085.427558039555
quarterly_simulation_2655.csv,2655,87573,428,private,2007-06-30 06:38:40,2009-06-26 15:35:43,717.6344649606614,7113.0,15039.48258064516
quarterly_simulation_2672.csv,2672,80187,428,private,2007-06-11 20:15:43,2009-06-30 12:08:19,807.7570304413433,7276.0,34575.97727272727
quarterly_simulation_268.csv,268,114532,428,commercial,2007-06-30 08:50:31,2009-06-30 14:45:38,551.638633744281,976.0,4033.5414054054054
quarterly_simulation_2682.csv,2682,112528,428,private,2007-06-30 21:33:58,2009-06-30 20:42:06,561.2465341959335,12155.0,18991.560616061604
quarterly_simulation_2688.csv,2688,174431,428,commercial,2007-06-30 14:38:18,2009-06-30 13:28:45,362.06080914516343,5262.0,36306.76350410153
quarterly_simulation_2725.csv,2725,103825,428,private,2007-06-30 19:03:42,2009-06-30 19:32:09,608.3388875511679,5833.0,7112.472292831723
quarterly_simulation_2738.csv,2738,79934,428,private,2007-06-30 23:37:29,2009-06-26 09:49:30,785.1924337578503,1665.0,4451.122590361446
